name,city,state,address,pincode,contact,store_type,weekdays_timing,map_location
ADAMBAKKAM,CHENNAI,TAMIL NADU,"Ground Floor, No.2, Citi Limit Road,Secretariat Colony,Chennai - 600 088.",603103,7448807622,Supermarket,,
ADOOR,PATHANMTHITTA,KERALA,"Ground Floor Saradora Complex AjiNagar, Kannamkottu, Adoor Pathanamthitta - 691523",691523,9961883445,Supermarket,,
ALINCHUVADU,ERANAKULAM,KERALA,"Civil Line Road,Padivatton,Alinchuvadu P O,Cochin 24, ",682024,9961994431,Supermarket,,
"ALLIANCE, KORATTUR",CHENNAI,TAMIL NADU,"Alliance Orchid Springs,54, Water Canal Road,Korattur,Chennai 600080",600076,7092511113,Supermarket,,
ALUVA,ERANAKULAM,KERALA,"KALATHIL COMPLEX, PALACE ROAD
ALUVA-683001
",683001,9961994439,Supermarket,,
AMBALAMUKKU,THIRUVANANTHAPURAM,KERALA,"Ground Floor, Chittaloor Building , Ambalamukku , Trivandrum",695005,9961883459,Supermarket,,
AMBATTUR OT,CHENNAI,TAMIL NADU,"Sri Sreshta Mint Mark, Ground Floor, Door No.7, 57th Street, Korattur, Chennai - 600 080.",600080,9345116945,Supermarket,,
ANCHAL NEW KERALA,KOLLAM,KERALA,"Prabhath,No 439/13,Thazamel Road,Anchal,Kollam",691306,9946036312,Supermarket,,
ANNANAGAR WEST,CHENNAI,TAMIL NADU,"Plot No.392, Shop NO.1 & 2,Annanagar West, Opp: SBOA School - Chennai - 600101",600101,7448807612,Supermarket,,
ANNANAGAR WEST,CHENNAI,TAMIL NADU,"No: 84/149, Iind Street,Secratriat Colony,Kelly's Kilpauk, Chennai - 600 010.",600010,7448807612,Supermarket,,
ARAKKONAM,ARAKKONAM,TAMIL NADU,"Ground Floor, M291, TNHB Appartments, Jyoti Nagar, Arakonum-631001.",600073,7448807639,Supermarket,,
ARNI,RANIPET,TAMIL NADU,"10M, 10N, 13,13C, Reading Room Road, Ranipet - 632 401",632401,7448807639,Supermarket,,
C K PLAZA,PUNE,MAHARASHTRA,"Survey No.68, A/6, Pune Solapur Rd, Hadapsar, Manjri   Pune 412307",412307,9922985217,Supermarket,,
